Gene-ID,Gene-Name,ACE1,ACE2,ACE3,ACE4,ACE5
ENSMUSG00000084893,Hba-ps4,4,3,3,0,4
ENSMUSG00000084894,Gm13834,34,48,21,8,11
ENSMUSG00000084895,AA672651,4,0,0,0,0
ENSMUSG00000084896,Gm11632,168,144,167,73,107
ENSMUSG00000084897,Gm14226,4,0,0,15,0
ENSMUSG00000084898,Gm12371,0,0,0,0,0
ENSMUSG00000084899,Gm15344,1000,1587,1299,1705,1694
ENSMUSG00000084901,Gm13266,0,0,0,0,0
ENSMUSG00000084902,Gm281,0,0,0,0,0
ENSMUSG00000084904,Gm14827,0,3,0,0,0
ENSMUSG00000084905,Gm12081,0,0,0,0,0
ENSMUSG00000084906,Gm13794,0,0,0,0,0
ENSMUSG00000084907,Gm14505,0,0,0,0,0
ENSMUSG00000084908,C79798,30,7,27,0,18
ENSMUSG00000084909,4930528G23Rik,0,0,0,0,0
ENSMUSG00000084910,C630043F03Rik,49,13,63,73,54
ENSMUSG00000084911,Gm16185,197,177,161,124,79
ENSMUSG00000084913,Gm7616,0,15,0,0,18
ENSMUSG00000084915,C230037L18Rik,12,7,24,15,0
ENSMUSG00000084916,Gm11656,0,0,0,0,0
ENSMUSG00000084917,Gm17477,632,538,538,392,622
ENSMUSG00000084918,Gm12708,12,3,3,0,0
ENSMUSG00000084919,Ptprtos,4,0,0,0,0
ENSMUSG00000084920,Gm15230,41,0,42,8,0
ENSMUSG00000084921,Gm13838,0,0,0,0,0
ENSMUSG00000084923,Gm15611,4,0,0,0,0
ENSMUSG00000084924,Vmn1r-ps103,0,0,0,0,0
ENSMUSG00000084925,1810062O18Rik,183,132,176,73,153
ENSMUSG00000084927,Gm5724,0,3,0,0,0
ENSMUSG00000084929,Foxo6os,0,0,0,0,0
ENSMUSG00000084930,Gm11706,45,52,15,30,54
ENSMUSG00000084932,Gm15156,0,0,0,0,0
ENSMUSG00000084933,Gm13962,0,0,0,0,0
ENSMUSG00000084934,Gm16035,0,0,9,0,0
ENSMUSG00000084935,Gm14161,0,0,0,0,0
ENSMUSG00000084936,Gm11583,513,585,589,907,1023
ENSMUSG00000084937,Gm11228,0,0,0,0,0
ENSMUSG00000084938,BB557941,8,0,0,0,4
ENSMUSG00000084939,Gm830,15,9,0,0,0
ENSMUSG00000084940,Gm15935,0,3,0,0,0
ENSMUSG00000084941,Gm11944,93,95,72,59,68
ENSMUSG00000084942,7330404K18Rik,0,0,0,0,0
ENSMUSG00000084944,Gm14684,0,0,0,0,0
ENSMUSG00000084945,C030037F17Rik,0,0,0,0,0
ENSMUSG00000084946,Dlx1as,38,15,21,30,4
ENSMUSG00000084947,Gm15594,183,11,116,30,36
ENSMUSG00000084948,1700061H18Rik,82,212,87,88,86
ENSMUSG00000084949,Gm16249,0,0,0,0,0
ENSMUSG00000084950,Gm5577,651,914,622,631,807
ENSMUSG00000084951,Mipepos,4,3,3,0,0
ENSMUSG00000084954,Gm16351,8,0,3,8,18
ENSMUSG00000084955,Gm14349,0,0,0,0,0
ENSMUSG00000084956,Gm16194,4,5,0,0,4
ENSMUSG00000084957,Bbip1,454,544,351,501,505
ENSMUSG00000084959,4933407I08Rik,0,0,0,0,0
ENSMUSG00000084960,B430010I23Rik,294,355,185,175,295
ENSMUSG00000084962,Gm11947,82,37,21,15,15
ENSMUSG00000084963,Gm14936,0,0,0,0,0
ENSMUSG00000084964,Gm15503,27,11,15,0,4
ENSMUSG00000084965,Gm13857,0,0,3,0,4
ENSMUSG00000084966,2810471M01Rik,0,0,0,0,0
ENSMUSG00000084967,Gm12296,4,0,0,0,0
ENSMUSG00000084968,Gm12743,56,19,45,15,32
ENSMUSG00000084969,Gm11205,4,5,0,0,0
ENSMUSG00000084970,1700060J05Rik,253,427,203,341,565
ENSMUSG00000084971,4930579D09Rik,0,0,0,0,0
ENSMUSG00000084973,Gm13848,0,3,0,0,0
ENSMUSG00000084974,Gm15567,108,122,78,80,114
ENSMUSG00000084978,Gm11655,49,31,21,15,40
ENSMUSG00000084979,Gm16267,0,0,6,0,0
ENSMUSG00000084980,Slc36a1os,0,0,0,0,0
ENSMUSG00000084981,Gm15962,0,0,0,0,0
ENSMUSG00000084982,Gm15275,0,0,0,0,0
ENSMUSG00000084983,Gm11789,0,3,0,0,0
ENSMUSG00000084984,Far1os,279,663,274,320,519
ENSMUSG00000084985,Gm16135,4,3,6,0,4
ENSMUSG00000084986,Gm16224,0,0,6,8,0
ENSMUSG00000084987,Gm13134,0,5,0,0,0
ENSMUSG00000084989,Crocc2,4,15,3,8,8
ENSMUSG00000084990,Gm14549,34,13,9,15,11
ENSMUSG00000084991,Gm16260,0,3,3,0,4
ENSMUSG00000084992,Gm13842,0,0,0,0,0
ENSMUSG00000084993,Gm12305,0,11,0,8,11
ENSMUSG00000084995,Lyzl4os,4,13,0,0,0
ENSMUSG00000084996,Gm11419,0,0,0,0,0
ENSMUSG00000084997,Gm15471,38,39,66,51,32
ENSMUSG00000084998,Gm16279,160,200,194,182,267
ENSMUSG00000084999,Gm15839,0,0,0,0,0
ENSMUSG00000085000,Gm14553,0,0,0,0,0
ENSMUSG00000085001,Rapgef4os2,0,23,6,8,8
ENSMUSG00000085002,Gm12984,15,3,9,0,8
ENSMUSG00000085003,Pip5k1bos,4,11,0,0,8
ENSMUSG00000085004,5430427M07Rik,4,3,0,0,0
ENSMUSG00000085006,BC021767,27,158,15,37,54
ENSMUSG00000085007,Gm11549,0,0,0,0,0
ENSMUSG00000085008,Dbhos,0,5,0,0,0
ENSMUSG00000085009,Gm12977,93,87,128,59,135
ENSMUSG00000085010,Gssos1,15,37,30,22,57
ENSMUSG00000085012,Gm15492,71,81,63,51,114
ENSMUSG00000085014,Gm13490,0,0,0,0,0
ENSMUSG00000085015,Gm14424,0,0,0,0,0
ENSMUSG00000085016,Gm11335,4,9,6,8,4
ENSMUSG00000085017,Gm13412,0,0,0,0,0
ENSMUSG00000085019,Pard3bos2,0,5,0,0,8
ENSMUSG00000085020,2310081O03Rik,0,3,0,0,0
ENSMUSG00000085021,Gm12051,0,0,0,0,0
ENSMUSG00000085022,Gm5860,4,5,3,44,11
ENSMUSG00000085023,Gm12744,45,253,42,196,128
ENSMUSG00000085024,C230035I16Rik,0,0,9,0,4
ENSMUSG00000085025,Gm13715,0,3,0,0,0
ENSMUSG00000085026,Srrm3os,0,0,3,0,0
ENSMUSG00000085027,Gm11840,0,0,0,0,0
ENSMUSG00000085028,Slc2a4rg-ps,86,74,27,15,54
ENSMUSG00000085029,Gm13569,0,0,0,0,0
ENSMUSG00000085030,2810455O05Rik,82,64,36,30,57
ENSMUSG00000085032,Gm11217,0,0,0,0,0
ENSMUSG00000085033,Gm11646,93,103,93,44,107
ENSMUSG00000085034,Gm11240,0,7,3,0,0
ENSMUSG00000085035,Gm12031,8,5,0,0,4
ENSMUSG00000085036,Gm14011,8,0,0,0,0
ENSMUSG00000085037,4933421O10Rik,212,197,69,59,32
ENSMUSG00000085039,Gm15927,93,109,72,146,182
ENSMUSG00000085041,BB031773,4,0,0,0,0
ENSMUSG00000085042,Abhd11os,12,81,27,59,57
ENSMUSG00000085043,Gm13184,23,7,9,8,4
ENSMUSG00000085044,1700109G15Rik,0,0,0,0,4
ENSMUSG00000085046,Gm11467,0,0,0,0,0
ENSMUSG00000085047,Gm13026,0,0,0,0,0
ENSMUSG00000085048,Gm15537,105,68,116,88,57
ENSMUSG00000085049,Parvaos,30,7,24,8,8
ENSMUSG00000085051,Gm11542,12,0,6,0,0
ENSMUSG00000085053,Gm14809,0,0,0,8,0
ENSMUSG00000085054,Gm15834,30,54,39,8,64
ENSMUSG00000085055,Gm15958,0,23,0,8,4
ENSMUSG00000085057,Gm13415,0,3,0,0,0
ENSMUSG00000085058,8030453O22Rik,49,0,33,15,4
ENSMUSG00000085059,Gm11750,0,0,0,0,0
ENSMUSG00000085060,E330016L19Rik,0,0,0,0,0
ENSMUSG00000085063,Gm16024,8,9,3,0,8
ENSMUSG00000085066,Gm4989,0,0,0,0,0
ENSMUSG00000085067,Gm15631,0,0,0,0,0
