"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"1423847_PM_at",-1.06945903787443,7.46582194522905,-2.82666109034015,0.0353481977984985,0.99999893620778,-4.45133308372038,"Ncapd2"
"1416289_PM_at",-1.1641449044551,6.57207109331112,-2.82325195737789,0.0354935032754352,0.99999893620778,-4.45152696839625,"Plod1"
"1460314_PM_s_at",-1.80302532992048,10.2491066852405,-2.82203554969717,0.0355455088605034,0.99999893620778,-4.45159622587178,"Hist1h3a /// Hist1h3b /// Hist1h3c /// Hist1h3d /// Hist1h3e /// Hist1h3f /// Hist1h3g /// Hist1h3h /// Hist1h3i /// Hist2h3b /// Hist2h3c1 /// Hist2h3c2"
"1428135_PM_a_at",-1.26447384058545,7.99967170728239,-2.79155784424545,0.0368763466989184,0.99999893620778,-4.45334491154602,"Eef1d"
"1421006_PM_at",-1.01623342077619,6.3676297320368,-2.73192814531455,0.0396416284186162,0.99999893620778,-4.45684153065776,"Col4a6"
"1440894_PM_at",-1.07784702022032,6.24213241377022,-2.719993106479,0.0402220298673198,0.99999893620778,-4.45755348900011,"Tmtc3"
"1416972_PM_at",-1.03418518125845,6.05550505009222,-2.68185444671154,0.0421400700308829,0.99999893620778,-4.45985591927994,"LOC100862468 /// Nhp2l1"
"1440954_PM_at",-1.60317266943358,7.68874968462087,-2.67622169185833,0.042431743036036,0.99999893620778,-4.4601995185443,"---"
"1460713_PM_at",-1.246434788955,6.04140725377327,-2.67251702586797,0.0426247806401491,0.99999893620778,-4.46042600420585,"Dnph1"
"1421829_PM_at",-1.23786027025366,6.21465085013044,-2.64858334899981,0.0438952702219313,0.99999893620778,-4.46189878930503,"Ak4"
"1451539_PM_at",-2.38519187663243,6.47891694747299,-2.64741421434905,0.0439583839345659,0.99999893620778,-4.46197116001195,"Baiap2l1"
"1448373_PM_at",-1.15880413873104,8.08399295258643,-2.637242215541,0.0445117039488096,0.99999893620778,-4.46260250016273,"Mrpl18"
"1415935_PM_at",-1.52557772308695,6.24041668339997,-2.63478971165659,0.0446462464138753,0.99999893620778,-4.4627551704825,"Smoc2"
"1451358_PM_a_at",-1.20826609725721,7.05652707887589,-2.6223908025971,0.0453332711572365,0.99999893620778,-4.46352970639149,"Racgap1"
"1427863_PM_at",-1.42324494498527,9.17889370561711,-2.61529674198318,0.0457315357617762,0.99999893620778,-4.46397488527915,"Hist1h3b /// Hist1h3h"
"1435130_PM_at",-1.0585560391685,6.10453007444045,-2.60831481119333,0.0461272338490957,0.99999893620778,-4.46441447089353,"Tvp23a"
"1428014_PM_at",-1.14012482292395,10.1859350214524,-2.60217140400087,0.0464784970547977,0.99999893620778,-4.46480244869428,"Hist1h4a /// Hist1h4b /// Hist1h4c /// Hist1h4d /// Hist1h4f /// Hist1h4h /// Hist1h4i /// Hist1h4j /// Hist1h4k /// Hist1h4m /// Hist1h4n /// Hist2h4 /// Hist4h4"
"1419052_PM_at",-2.24078961065849,6.83915582013114,-2.59344659126664,0.0469823768506986,0.99999893620778,-4.46535536252378,"Ovol1"
"1431362_PM_a_at",-1.85093421242368,6.56386033572495,-2.58069163805594,0.0477297445430939,0.99999893620778,-4.46616772129818,"Smoc2"
"1452338_PM_s_at",-1.88848280811087,6.72837107271768,-2.57585688734577,0.0480164073206694,0.99999893620778,-4.46647690278563,"Itsn1"
"1421579_PM_at",-1.12964681186975,6.78509079575252,-2.54757291449814,0.0497313910446288,0.99999893620778,-4.46829955619392,"Hoxa9"
