"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"1448346_PM_at",1.21265335415253,9.46097713638074,3.2145592313689,0.0224232513652104,0.533631510966494,-2.97113652961381,"Cfl1"
"1434173_PM_s_at",1.37329204664169,7.2242696962056,3.21448060078427,0.0224252669702363,0.533631510966494,-2.971221919789,"D19Bwg1357e"
"1450478_PM_a_at",1.04076101732639,6.50503252411083,3.21002801951955,0.0225397357854477,0.536072820385086,-2.97605909506496,"Ptpn12"
"1431759_PM_at",1.16319109324533,6.07466018427132,3.20881166258029,0.0225711201635237,0.536221001173784,-2.97738113769888,"4930529C04Rik /// Gm15583 /// Zbed4"
"1449372_PM_at",1.22826479811279,7.15888927116832,3.20794616874921,0.0225934814078673,0.536221001173784,-2.97832199425961,"Dnajc3"
"1433646_PM_at",1.18634473287299,6.77886657713155,3.20436994437284,0.0226861417252895,0.536919836100974,-2.98221104967688,"Mrps27"
"1458447_PM_at",2.32671700690231,6.58283644175389,3.19341604280237,0.022972618028303,0.540107786674806,-2.994137474624,"Cenpf"
"1450650_PM_at",1.18364086067958,7.70962119588239,3.19047333300541,0.0230502673145243,0.540190943537746,-2.9973451236184,"Myo10"
"1426688_PM_at",1.32497739279229,8.85277825905536,3.1902952234243,0.0230549765169374,0.540190943537746,-2.99753931873088,"Sdha"
"1422414_PM_a_at",1.04142143421629,9.1708243684189,3.18842693526405,0.0231044388747058,0.540588691531526,-2.99957667983914,"Calm1 /// Calm2 /// Calm3"
"1418521_PM_a_at",1.30599832627911,7.71164925827541,3.18811050122075,0.0231128281308754,0.540588691531526,-2.99992181197626,"Mtx1"
"1454607_PM_s_at",1.0442375162109,9.60288657516104,3.18577717959803,0.023174794243728,0.541137427155249,-3.00246730207354,"Psat1"
"1456085_PM_x_at",1.33290191208032,9.39318042357303,3.1851801240159,0.023190680145405,0.541137427155249,-3.00311880465321,"Cd151"
"1421963_PM_a_at",1.47974448098485,6.80663984001227,3.17806335358103,0.0233809782891769,0.542998957491047,-3.01088948827387,"Cdc25b"
"1424170_PM_at",1.25043287789526,8.55496821383313,3.17370545100385,0.0234983685683811,0.543349921386445,-3.01565228367662,"Phf5a"
"1448492_PM_a_at",1.81449850433632,7.26605269418203,3.17309828475974,0.0235147763019638,0.543349921386445,-3.0163161311546,"Psmd12"
"1427363_PM_at",1.17283084718721,7.01844457289684,3.16989456536384,0.0236015644756414,0.543349921386445,-3.01982001993421,"---"
"1423267_PM_s_at",2.0972148749253,6.19822816628199,3.1640205542618,0.023761623002931,0.544755421013362,-3.02624914796359,"Itga5"
"1417058_PM_a_at",1.43080643275039,9.49925599297621,3.16210571376412,0.0238140618986713,0.545543769642887,-3.02834627751809,"Krtcap2"
"1449446_PM_at",1.34338121829668,6.74299345879066,3.15833702005761,0.0239176480873423,0.545543769642887,-3.03247565022815,"Ccdc59"
"1457826_PM_a_at",1.10608337442012,7.63412038447939,3.15754842153962,0.0239393871879289,0.545543769642887,-3.03334004048927,"1810043H04Rik"
"1448151_PM_at",1.25060591215868,6.74195862136847,3.15733183576914,0.0239453616222036,0.545543769642887,-3.03357746155066,"Elavl1"
"1455012_PM_s_at",1.57413843997172,6.97220631722204,3.15693161449774,0.0239564059589545,0.545543769642887,-3.03401620557557,"Trim37"
"1435329_PM_at",1.22400095608628,6.00788835514817,3.15349697086146,0.0240514215266001,0.545543769642887,-3.03778261674393,"Kdm2a"
"1433806_PM_x_at",1.85444839449277,7.79566988392065,3.15240770513931,0.0240816428106994,0.545543769642887,-3.03897753722532,"Calr"
"1421819_PM_a_at",1.122668857813,8.82164752669959,3.15215012083216,0.0240887956012385,0.545543769642887,-3.03926013706336,"Set"
"1436505_PM_at",1.18367920446726,6.77433299096182,3.15048917145567,0.0241349751568587,0.545543769642887,-3.04108267387052,"Ppig"
"1434224_PM_at",1.37981614527023,6.9049060838324,3.14890693996702,0.0241790581957971,0.545543769642887,-3.04281928993723,"Tbl2"
"1415970_PM_at",1.47798148762518,9.78338496588032,3.14580770161532,0.02426566816343,0.545543769642887,-3.04622221976546,"Cox6c"
"1455821_PM_x_at",1.49992577347037,8.56029614411417,3.145177079244,0.0242833337000805,0.545543769642887,-3.04691484469133,"C1qbp"
"1455048_PM_at",1.9983348845796,8.0568406365332,3.14314772241125,0.0243402794439187,0.545543769642887,-3.0491442052422,"Igsf3"
"1426386_PM_at",1.46044838538068,7.4922142210255,3.14299006307307,0.0243447097654609,0.545543769642887,-3.04931743326301,"Rpl7l1"
"1443993_PM_at",1.8815359422874,7.57906729322983,3.14118395662592,0.024395526800753,0.545543769642887,-3.0513022046195,"Zc3h12a"
"1434986_PM_a_at",1.04618671771882,8.45214981379252,3.13887915609904,0.0244605474963735,0.545543769642887,-3.05383584046434,"Sec61a1"
"1448440_PM_x_at",1.60391638055379,6.63854788006118,3.13719010067108,0.0245083204094786,0.545543769642887,-3.05569319255733,"D17Wsu104e"
"1449855_PM_s_at",1.62595750524856,7.19093026888243,3.13497364350925,0.0245711685330046,0.546118719226175,-3.05813126132263,"Uchl3 /// Uchl4"
"1448524_PM_s_at",1.31196171814096,7.98848570934454,3.13313992541171,0.0246233001700979,0.546470203037557,-3.06014897885637,"Ssr4"
"1422615_PM_at",1.73545364603054,6.69762085187263,3.1286628993639,0.0247510996986499,0.546968556819704,-3.06507773259459,"Map4k4"
"1454661_PM_at",1.10428593448697,10.1266444081933,3.12504394915653,0.0248549466876323,0.548052185003198,-3.06906441370158,"Atp5g3"
"1424620_PM_at",1.45656542868059,6.62794691912264,3.12470996623332,0.0248645549475322,0.548052185003198,-3.06943244974538,"Nop16"
"1451092_PM_a_at",1.45430027135949,7.33331604475045,3.1224159589734,0.0249306628291823,0.549086390994148,-3.07196088600049,"Rangap1"
"1428445_PM_at",1.06814988843487,7.19025983302973,3.12223786081829,0.0249358034057288,0.549086390994148,-3.07215722307776,"Yif1b"
"1454813_PM_at",1.14215850711872,9.58222991372723,3.11775661307815,0.0250655394086723,0.551064099524648,-3.07709922799835,"LOC101055761 /// Tma7 /// Tma7-ps"
"1418393_PM_a_at",1.25894648759347,6.72329173584531,3.11744984744628,0.0250744480721213,0.551064099524648,-3.07743766398985,"Itga7"
"1455084_PM_x_at",2.19187789133935,7.67830868328153,3.1121858963867,0.0252278687118125,0.553143633227805,-3.08324763660063,"Shmt2"
"1438640_PM_x_at",1.58491086553567,9.8404165623701,3.11001405191221,0.0252914734993309,0.553513145516228,-3.08564617916008,"Pgk1"
"1423151_PM_at",2.18189300793667,7.22762647297226,3.10831246361503,0.0253414314335026,0.553964918324329,-3.08752595730873,"Dnajb11"
"1423291_PM_s_at",1.23295460067259,7.99495680995398,3.1026232837268,0.0255092650602137,0.555279355950745,-3.09381458553682,"Hyou1"
"1433480_PM_at",1.04827779154043,6.62045627357758,3.1018150765781,0.0255332080688068,0.555279355950745,-3.094708409591,"Swi5"
"1422460_PM_at",1.75725610728507,7.14331747888538,3.10055411967188,0.0255706138301225,0.555279355950745,-3.09610317303177,"Mad2l1"
"1423919_PM_at",1.61552468800238,6.10493094016333,3.099179646751,0.025611456681311,0.555279355950745,-3.09762381448613,"Haus3"
"1454694_PM_a_at",2.73359857205562,6.76899806335949,3.09888532603783,0.0256202119660267,0.555279355950745,-3.09794947764574,"Top2a"
"1436930_PM_x_at",1.35793266096542,6.3502742320701,3.09590404090598,0.0257090860622728,0.555279355950745,-3.10124909400518,"Hmbs"
"1427798_PM_x_at",1.61863660733774,7.38794626108892,3.09387970460674,0.0257696289802149,0.555423738792328,-3.10349046519377,"---"
"1450777_PM_at",1.33282153231323,8.45171434099279,3.09145942277499,0.0258422225571846,0.556291735075761,-3.10617116928334,"Xrn2"
"1420082_PM_at",2.22709284888101,6.0056825761015,3.08883529091884,0.0259211882897254,0.556982945086653,-3.10907880960466,"---"
"1449111_PM_a_at",1.35375487150187,7.13062218336249,3.08601004637218,0.0260065069963289,0.558207030937228,-3.11221062917099,"Grb2"
"1434434_PM_s_at",1.16138315490847,6.61397507284647,3.08365094096375,0.0260779889414371,0.558207030937228,-3.11482678991558,"Tcerg1"
"1416506_PM_at",1.19466894256313,9.12433843185902,3.08045797253212,0.0261750865846879,0.55836206222109,-3.11836921223589,"Psma6"
"1435140_PM_at",1.41489896656093,6.94915527363412,3.07920188011341,0.0262133946023756,0.55836206222109,-3.11976326200519,"Ide"
"1429103_PM_at",1.14045652805232,6.209182555242,3.07916022392712,0.0262146660938673,0.55836206222109,-3.1198094979988,"Tomm22"
"1448728_PM_a_at",1.01767920475373,7.10390196807229,3.07660105586365,0.0262929128568089,0.558419658542126,-3.12265060524908,"Nfkbiz"
"1416245_PM_at",1.56092941509838,8.14021863964406,3.07422279968913,0.0263658617538507,0.558857143796903,-3.12529188629357,"Aurkaip1"
"1416566_PM_at",1.23449924611525,7.93666349360118,3.07341014047588,0.0263908403794055,0.558857143796903,-3.12619464641324,"Strap"
"1431212_PM_a_at",1.31326192278624,6.07453301174892,3.06835557461876,0.0265467957084423,0.558857143796903,-3.1318121831967,"Trmt6"
"1452782_PM_a_at",1.46054196079839,8.61080592796801,3.06658190914928,0.0266017642909309,0.558857143796903,-3.13378444272879,"Txn2"
"1429627_PM_at",1.22600768408445,6.51891319343873,3.06322604915875,0.026706114925157,0.558857143796903,-3.13751753634771,"Ppil3"
"1449578_PM_at",1.58947075966034,6.96731933624783,3.06298978758214,0.0267134786631075,0.558857143796903,-3.13778042930894,"Supt16"
"1421942_PM_s_at",1.85827651463425,6.88342830542542,3.06249935483364,0.0267287715655817,0.558857143796903,-3.13832617428548,"Tgfa"
"1432708_PM_at",1.03059075906891,6.84726970384343,3.06100653147292,0.0267753815614623,0.558857143796903,-3.13998761686951,"Gm8096"
"1421817_PM_at",1.40207091464393,6.25975167858986,3.05904467804536,0.0268367737425303,0.558857143796903,-3.14217165116993,"Gsr"
"1439269_PM_x_at",1.62212181311997,7.69296529359691,3.0589548161532,0.0268395895408253,0.558857143796903,-3.14227170582322,"Mcm7"
"1439466_PM_s_at",2.03154965216822,6.75557010741864,3.04978426183836,0.0271286848647103,0.55977979313599,-3.15248974165512,"Bud31"
"1417189_PM_at",1.03368219942833,8.10435341010941,3.04476840323025,0.0272882726720724,0.55977979313599,-3.15808462277142,"Psme2 /// Psme2b"
"1418349_PM_at",3.46190233160741,6.90998369075413,3.04336601955905,0.0273330786525031,0.55977979313599,-3.15964966530416,"Hbegf"
"1417503_PM_at",1.26535216328804,7.28948288271267,3.04001410466313,0.027440504202959,0.55977979313599,-3.16339172163583,"Rfc2"
"1418778_PM_at",1.09407589801361,6.07036935278753,3.03954832676729,0.0274554690916912,0.55977979313599,-3.16391186490907,"Ccdc109b"
"1416257_PM_at",2.25639718211888,7.24987334738225,3.03891178089846,0.0274759352491793,0.55977979313599,-3.16462276798223,"Capn2"
"1458226_PM_at",1.02913741047501,8.5473382118229,3.03504977697098,0.0276004707464486,0.560826472402231,-3.16893738777849,"Flnb"
"1456028_PM_x_at",1.222201732249,9.66645045662287,3.03274267900521,0.0276751659694836,0.561090620542128,-3.1715160834887,"Marcks"
"1428258_PM_at",1.65595404073944,8.35560251674681,3.03177332764414,0.0277066170619981,0.561174609508969,-3.1725998197736,"2010107E04Rik"
"1448480_PM_at",1.23081263231422,7.36359143566857,3.02880798425215,0.0278030763876977,0.561174609508969,-3.17591607025923,"Nip7"
"1417102_PM_a_at",1.25853078534352,7.86838879997301,3.02788243292118,0.0278332600357066,0.561174609508969,-3.17695145370323,"Ndufb5"
"1428942_PM_at",1.21232262400159,10.082809538584,3.02784933165948,0.02783434019385,0.561174609508969,-3.17698848567699,"Mt2"
"1455640_PM_a_at",1.1378881400697,7.67379472114508,3.02728271588162,0.0278528371977962,0.561296841047195,-3.17762241485658,"Txn2"
"1449705_PM_x_at",1.61796614341357,6.32765671631129,3.02249435607491,0.028009699175879,0.562513269058401,-3.18298180265027,"Mcm3"
"1418083_PM_at",1.00274566527082,6.98043478671848,3.02165256924728,0.0280373767561245,0.562513269058401,-3.18392437713802,"0610009B22Rik"
"1437904_PM_at",1.14872834599737,6.08334727293918,3.02163934995952,0.028037811643105,0.562513269058401,-3.18393918013668,"Rbm45"
"1455824_PM_x_at",1.53598451578016,7.20310138303138,3.01779575030048,0.0281645769591888,0.563559922772361,-3.18824450951207,"Stt3a"
"1437714_PM_x_at",1.13687449419392,7.22705976311795,3.01512268750871,0.0282531128181179,0.564604068687255,-3.19124015910422,"Usp14"
"1460551_PM_at",1.11722240660939,7.34482615950369,3.00614366235349,0.028552785619874,0.566848542112811,-3.20131160625538,"Ran"
"1428605_PM_at",1.03451750528875,6.77625235757592,3.00607616551132,0.0285550516548455,0.566848542112811,-3.20138736645124,"Ccdc124"
"1455951_PM_at",1.56127451235118,7.3966764728921,3.00317904744351,0.0286525037768853,0.566848542112811,-3.20463988865943,"Mars"
"1422559_PM_at",1.04838575535821,7.46589350274111,2.99954109301641,0.0287753999247987,0.566848542112811,-3.2087261264832,"Mcg1038069 /// Ube2n"
"1416191_PM_at",1.34970102976003,6.44749800998447,2.99888535490294,0.0287976141201233,0.566848542112811,-3.20946290354754,"Sec61a1"
"1422240_PM_s_at",3.53858717343478,6.13522834982752,2.99851002338515,0.0288103376636974,0.566848542112811,-3.2098846526078,"Sprr2h"
"1434744_PM_at",1.45945837117626,6.89016956560956,2.99670079856655,0.0288717571669851,0.566848542112811,-3.21191795695403,"Yrdc"
"1454751_PM_at",1.58949525978682,6.61142517772183,2.99643581035321,0.0288807651910118,0.566848542112811,-3.21221581104073,"Mettl14"
